Model_Type,Height,Width,Thickness,Weight,Battery_Life,Operating_System,Speaker_Quality,Touch_Screen,Processor_Speed,GPS,Radio,Regional_Global,Bluetooth,Wifi,Projector,Hotspot ,Camera,Camera_Quality,Camera_Flashlight,Front_Facing_Camera,Wireless_Charging,Cover_Materials,Display_Quality,Fingerprint_Sensor,Silent_Ringer_Vibration,Touch_Screen_Pressure_Sensor,Tilt_Sensor,Manufacturing_Cost_per_Unit,Software_Costs,Material_Cost_per_Unit,Other_Cost
Model_1,9.81,2.57,0.34,9.18,6.23,1,5.73,0,4,0,1,R,0,1,0,0,0,NA,NA,NA,0,3,5.16,N,1,0,N,10.51,7.05,3.12,4.96
Model_2,9.47,3.16,0.58,10.16,3.74,1,1.4,0,4,0,1,R,0,1,0,0,1,1.71,N,No,0,3,1.57,N,1,0,N,7.06,16.39,1.62,5.56
Model_3,7.28,3.68,0.27,3.81,5.35,3,6.13,1,4,0,1,R,0,1,0,1,1,3.32,N,No,0,3,4.78,N,1,0,N,17.21,11.67,2.91,5.91
Model_4,5.38,3.86,0.47,4.26,7.14,1,5.34,1,5,1,1,R,0,1,0,1,1,6.45,N,Y,0,1,4.78,N,1,0,N,31.01,17.54,4.52,3.67
Model_5,8.31,4.4,0.4,6.59,6.51,1,5.59,1,5,1,1,G,1,1,0,1,1,5.28,N,,0,3,7.31,N,1,0,N,22.12,18.55,6.47,7.93
Model_6,5.87,4.5,0.27,9,8.1,2,4.55,1,5,,0,G,1,1,0,1,1,5.54,Y,Yes,0,2,6.45,N,1,0,Y,21.35,13.49,6.19,5.65
Model_7,7.44,3.2,0.57,5.71,8.59,2,4.8,1,4,1,0,G,1,1,0,1,1,6.76,Y,Yes,0,1,7.13,N,1,0,Y,29.82,12.90,8.82,6.83
Model_8,7.7,3.71,0.26,10.09,7.39,3,4.97,1,5,1,0,R,1,1,1,0,1,4.99,Y,Yes,1,1,6.53,Y,1,0,Yes,43.42,14.81,9.26,10.08
Model_9,7.03,3.9,0.45,9.43,12.26,1,10,1,5,1,0,R,1,1,0,1,1,9.63,Y,Yes,0,1,7.6,N,1,1,Y,36.59,12.66,9.02,11.39
Model_10,6.41,2.6,0.61,7.46,10.18,3,10,1,6,1,0,G,1,1,1,1,1,8.85,Y,Yes,1,2,9,Y,1,1,Y,39.14,14.42,10.91,9.51
